movieId,title,releaseDate,runtime,budget,genres,overview,tagline,popularity,revenue,director,cast,keywords
48,Pocahontas (1995),1995-06-14,81,55000000,Animation|Children|Drama|Musical|Romance,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",An American legend comes to life.,11.881083,346079773,Mike Gabriel|Eric Goldberg,Irene Bedard|Mel Gibson|David Ogden Stiers|John Kassir|Russell Means,culture clash|settler|forbidden love|colony|musical|song|gold rush|princess|romance|native american|animation|virginia|star crossed lovers|jamestown virginia|pug dog|cross cultural relationship|musket|animate tree|indian chief|based on myths or folklore|17th century|shamanism|indians vs. settlers|animal sidekick|powhatan|land claim
49,When Night Is Falling (1995),1995-05-05,96,0,Drama|Romance,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",,1.849005,0,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny|Don McKellar,professor|lgbt|woman director|lesbian director
50,"Usual Suspects, The (1995)",1995-07-19,106,6000000,Crime|Mystery|Thriller,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",Five Criminals. One Line Up. No Coincidence.,23.193865,23341568,Bryan Singer,Stephen Baldwin|Gabriel Byrne|Chazz Palminteri|Kevin Pollak|Pete Postlethwaite,law|relatives|theft|criminal|criminal mastermind|hungarian|sibling
52,Mighty Aphrodite (1995),1995-09-13,95,15000000,Comedy|Drama|Romance,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",,7.503714,6700000,Woody Allen,Woody Allen|Mira Sorvino|Helena Bonham Carter|F. Murray Abraham|Donald Symington,prostitute|adoption|adoptive father|childlessness|looking for  birth parents|adoptive mother|independent film|illegal prostitution|child
53,Lamerica (1994),1994-01-01,116,0,Adventure|Drama,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",,0.739028,0,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli,independent film
54,"Big Green, The (1995)",1995-09-29,100,0,Children|Comedy,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",The biggest kick of the year!,2.858002,0,Holly Goldberg Sloan,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders|John Terry|Bug Hall,sport|kids and family|soccer|woman director
55,Georgia (1995),1995-05-19,115,0,Drama,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",The toughest act to follow was their dreams.,1.667733,0,Ulu Grosbard,Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe,alcohol|artist|music|drugs|band
57,Home for the Holidays (1995),1995-11-02,103,0,Drama,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",We'll do it every year... until we get it right.,4.858851,17519169,Jodie Foster,Holly Hunter|Robert Downey Jr.|Anne Bancroft|Charles Durning|Claire Danes,generations conflict|baltimore|thanksgiving|family clan|family conflict|woman director
58,"Postman, The (Postino, Il) (1994)",1994-09-22,108,0,Comedy|Drama|Romance,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,,7.60104,0,Michael Radford|Massimo Troisi,Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta|Renato Scarpa|Linda Moretti,island|letter|postman|fisherman|poet
59,"Confessional, The (Confessionnal, Le) (1995)",1995-09-29,100,0,Drama|Mystery,"The year is 1952, in Quebec City. Rachel (16), unmarried and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the confessional. In the present year of 1989, Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.",,0.527218,0,Robert Lepage,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette|Kristin Scott Thomas|Ron Burrage,
60,"Indian in the Cupboard, The (1995)",1995-07-14,96,45000000,Adventure|Children|Fantasy,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,,8.786763,0,Frank Oz,Hal Scardino|Litefoot|Lindsay Crouse|Richard Jenkins|Rishi Bhat,cupboard|games|puppet|parallel world|toy comes to life
61,Eye for an Eye (1996),1996-01-12,101,20000000,Drama|Thriller,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",What do you do when justice fails?,7.628981,26877589,John Schlesinger,Sally Field|Kiefer Sutherland|Ed Harris|Beverly D'Angelo|Charlayne Woodard,rape|gun|self-defense|grieving parents
62,Mr. Holland's Opus (1995),1995-12-29,137,0,Drama,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","Of All the Lives He Changed, the One That Changed the Most Was His Own.",5.469488,106269971,Stephen Herek,Richard Dreyfuss|Glenne Headly|Jay Thomas|Olympia Dukakis|William H. Macy,composer|mentor|deaf-mute|musical|apprentice|private life|music|disabled
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996-01-12,89,0,Comedy|Crime,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?","Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",7.552824,0,Paris Barclay,Shawn Wayans|Marlon Wayans|Tracey Cherelle Jones|Chris Spencer|Vivica A. Fox,date|slang|hip-hop|gangster|cousin|parody|hood|gang|social satire|racism
64,Two if by Sea (1996),1996-01-12,96,0,Comedy|Romance,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.","A new comedy about love, laughter, and larceny",2.107966,0,Bill Bennett,Sandra Bullock|Denis Leary|Yaphet Kotto|Stephen Dillane|Tracey Cherelle Jones,island|painting|thief|seasickness
65,Bio-Dome (1996),1996-01-12,88,15000000,Comedy,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,6.061667,0,Jason Bloom,Pauly Shore|Stephen Baldwin|Joey Lauren Adams|Teresa Hill|William Atherton,biotope|vegetarian|pollution
66,Lawnmower Man 2: Beyond Cyberspace (1996),1996-01-12,92,0,Action|Sci-Fi|Thriller,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.","God made him simple. Science made him a god. Now, he wants revenge.",4.087469,2409225,Farhad Mann,Patrick Bergin|Matt Frewer|Austin O'Brien|Ely Pouget|Camille Cooper,hacker|virtual reality|computer|sword fight
68,French Twist (Gazon maudit) (1995),1995-02-08,95,0,Comedy|Romance,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",A scorned wife. An outrageous affair. The perfect revenge.,3.714658,0,Josiane Balasko,Victoria Abril|Josiane Balasko|Alain Chabat|Ticky Holgado|Catherine Hiegel,love triangle|southern france|estate agent|menage a trois|van|woman director
69,Friday (1995),1995-04-26,91,3500000,Comedy,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",A lot can go down between thursday and saturday...,8.078564,28215918,F. Gary Gray,Ice Cube|Chris Tucker|Nia Long|Tom Lister Jr.|John Witherspoon,rap music|parent child relationship|rapper|job
70,From Dusk Till Dawn (1996),1996-01-19,108,19000000,Action|Comedy|Horror|Thriller,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",One night is all that stands between them and freedom. But it's going to be a hell of a night.,21.994719,25836616,Robert Rodriguez,George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis|Ernest Liu,dancing|sibling relationship|showdown|sheriff|bank robber|vampire|holy water|siege|stripper|priest|extreme violence|bank robbery|preacher|hostage situation|crucifix|recreational vehicle|convenience store|mexican american border|boa constrictor
71,Fair Game (1995),1995-11-03,91,50000000,Action,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,4.991649,11534477,Andrew Sipes,William Baldwin|Cindy Crawford|Steven Berkoff|Christopher McDonald|Miguel Sandoval,bomb|miami|sex|detective|handcuffs|based on novel|hostage|fbi|kidnapping|russian|kgb|chase|sadism|parking garage|pizza|police protection|psychopath|remake|car crash|conspiracy|on the run|fugitive|shootout|gunfight|sadist|foot chase|police detective|police station|car chase|held at gunpoint|fbi agent|double cross|cult film|computer hacker|machine gun|swat team|grenade launcher|underwater scene|rogue agent|woman lawyer|damsel in distress
72,Kicking and Screaming (1995),1995-10-06,96,0,Comedy|Drama,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",Anxiety loves company.,2.816329,718490,Noah Baumbach,Josh Hamilton|Olivia d'Abo|Carlos Jacott|Eric Stoltz|Chris Eigeman,college
73,"Misérables, Les (1995)",1995-03-22,175,0,Drama|War,"In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.","In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.",0.768531,0,Claude Lelouch,Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines|Salomé Lelouch|Annie Girardot,paris|nun|boxer|lawyer|jewish
74,Bed of Roses (1996),1996-01-26,87,0,Drama|Romance,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",He gave her flowers. She gave him a chance.,4.259563,19030691,Michael Goldenberg,Christian Slater|Mary Stuart Masterson|Pamela Adlon|Josh Brolin|Brian Tarantina,florist|family relationships
76,Screamers (1995),1995-09-08,108,20000000,Action|Sci-Fi|Thriller,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",The last scream you hear will be your own.,7.603529,5781885,Christian Duguay,Peter Weller|Roy Dupuis|Jennifer Rubin|Andrew Lauer|Liliana Komorowska,man vs machine|alien planet|struggle for survival
77,Nico Icon (1995),1995-02-18,70,0,Documentary,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",,0.211369,0,Susanne Ofteringer,Nico|Tina Aumont|Jackson Browne|John Cale|Paul Morrissey,
78,"Crossing Guard, The (1995)",1995-11-15,111,0,Action|Crime|Drama|Thriller,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.","...some lives cross, others collide.",5.371987,0,Sean Penn,Jack Nicholson|David Morse|Anjelica Huston|Robin Wright|Piper Laurie,loss of loved one|hit-and-run|revenge|suspense|independent film|tragedy
79,"Juror, The (1996)",1996-02-02,118,44000000,Drama|Thriller,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",There is no defense.,4.910671,0,Brian Gibson,Demi Moore|Alec Baldwin|Joseph Gordon-Levitt|Anne Heche|James Gandolfini,jurors|blackmail|court case|son|trial|courtroom
80,"White Balloon, The (Badkonake sefid) (1995)",1995-02-02,85,0,Children|Drama,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,,1.513917,0,Jafar Panahi,Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy|Anna Borkowska|Mohammad Shahani,fish|money|celebration|goldfish
81,Things to Do in Denver When You're Dead (1995),1995-12-01,116,8000000,Crime|Drama|Romance,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,Protect. Love. Honor. Avenge.,6.671817,529766,Gary Fleder,Andy García|Christopher Lloyd|William Forsythe|Bill Nunn|Treat Williams,bounty hunter|parent child relationship|boat|way of life|coffin|denver|godmother|paranoia|hitman|gangster|friendship|psychopath|revenge|murder|independent film|mafia|diner|blood|violence|illegal prostitution|extramarital affair
82,Antonia's Line (Antonia) (1995),1995-09-12,102,900000,Comedy|Drama,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",A motion picture that celebrates everything you love about life.,4.506539,0,Marleen Gorris,Willeke van Ammelrooy|Els Dottermans|Dora van der Groen|Veerle van Overloop|Esther Vriesendorp,suicide|underdog|free love|philosophy|rape|loss of loved one|mentally disabled|parent child relationship|village life|world war ii|feminism|indian summer |family history|widow|peasant|village|mathematics|freedom|right and justice|single|homosexuality|domestic violence|university|woman director
83,Once Upon a Time... When We Were Colored (1995),1996-01-26,115,0,Drama|Romance,"This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.",,1.008042,0,Tim Reid,"Al Freeman, Jr.|Phylicia Rashād|Paula Kelly|Salli Richardson-Whitfield",racial segregation|family relationships|rural setting|african american
84,Last Summer in the Hamptons (1995),1995-11-22,108,0,Comedy|Drama,"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors, directors, and playwrights. In the course of a very unusual weekend, comic as well as serious situations arise, and the family's secrets - of which there are many - begin to unravel.",,0.00635,0,Henry Jaglom,Victoria Foyt|Viveca Lindfors|Jon Robin Baitz|Savannah Smith Boucher|Roscoe Lee Browne,
85,Angels and Insects (1995),1995-09-10,118,0,Drama|Romance,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",An elegant seduction. An erotic deception. A stunning revelation.,2.171388,0,Philip Haas,Mark Rylance|Kristin Scott Thomas|Patsy Kensit|Jeremy Kemp|Douglas Henshall,insect|class society|rich woman poor man|victorian england|scientist|incest|based on short story|naturalist
86,White Squall (1996),1996-02-02,129,38000000,Action|Adventure|Drama,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,,6.4473,10300000,Ridley Scott,Jeff Bridges|Caroline Goodall|John Savage|Scott Wolf|Jeremy Sisto,sailing trip|diary|sailing|survival|coming of age|teenage boy|discipline|squall|sail|ship captain|caribbean|male bonding|seasickness|storm at sea|1960s
87,Dunston Checks In (1996),1996-01-12,88,16000000,Children|Comedy,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!",He's about to turn a Five Star Hotel into a three ring circus.,4.806037,0,Ken Kwapis,Jason Alexander|Faye Dunaway|Eric Lloyd|Rupert Everett|Graham Sack,boss|fistfight|bully|orangutan|hotel manager
88,Black Sheep (1996),1996-02-01,87,0,Comedy,"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election.",There's one in every family.,4.826386,32,Penelope Spheeris,Chris Farley|David Spade|Grant Heslov|Tim Matheson|Gary Busey,nitrous oxide|candid camera|double act|political satire|crooked politician|woman director
89,Nick of Time (1995),1995-11-22,90,8169363,Action|Thriller,"Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones.",,7.200592,8175346,John Badham,Johnny Depp|Courtney Chase|Charles S. Dutton|Christopher Walken|Roma Maffia,assassination|train station|politics|los angeles
92,Mary Reilly (1996),1996-02-23,104,47000000,Drama|Horror|Thriller,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",The untold story of Jekyll and Hyde,5.547472,12379402,Stephen Frears,Julia Roberts|John Malkovich|George Cole|Michael Gambon|Glenn Close,servant|monster|laboratory|jekyll and hyde|housemaid|19th century
93,Vampire in Brooklyn (1995),1995-10-26,100,14000000,Comedy|Horror|Romance,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.",A comic tale of horror and seduction.,6.405186,19800000,Wes Craven,Eddie Murphy|Angela Bassett|Allen Payne|Kadeem Hardison|John Witherspoon,vampire|half vampire
94,Beautiful Girls (1996),1996-02-09,112,0,Comedy|Drama|Romance,"During a snowy winter in the small fictional town of Knight""s Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.","Good times never seemed so good,",9.120073,0,Ted Demme,Matt Dillon|Noah Emmerich|Annabeth Gish|Lauren Holly|Timothy Hutton,coming of age|hometown
95,Broken Arrow (1996),1996-02-09,108,50000000,Action|Adventure|Thriller,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",Prepare to Go Ballistic.,8.430079,150270147,John Woo,John Travolta|Christian Slater|Samantha Mathis|Delroy Lindo|Bob Gunton,helicopter|river|captain|underground|mexican standoff|countdown|pilot|fistfight|canyon|major|betrayal|gunfight|train|explosion|park ranger|desert|military|nuclear device|boxing|stealth aircraft|abandoned mine|humvee
96,In the Bleak Midwinter (1995),1995-12-01,99,0,Comedy|Drama,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is, they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along, something bigger starts to emerge in the perhaps aptly named village of Hope.",The drama. The passion. The intrigue... And the rehearsals haven't even started.,0.816334,0,Kenneth Branagh,Richard Briers|Joan Collins|Michael Maloney|Nicholas Farrell|Jennifer Saunders,play|hamlet|christmas|actor
97,"Hate (Haine, La) (1995)",1995-05-31,98,3000000,Crime|Drama,"Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate.",Three Young Friends... One Last Chance.,9.039747,0,Mathieu Kassovitz,Vincent Cassel|Hubert Koundé|Saïd Taghmaoui|Abdel Ahmed Ghili|Souleymane Dicko,paris|neo-nazi|skinhead|robbery|police brutality|hip-hop|gun|socially deprived family|breakdance|arabian|boredom|revenge|suburb|violence|police officer|unemployment|capture|xenophobia
98,Shopping (1994),1994-12-06,105,0,Action|Thriller,"A dark, hip, urban story of a barren and anonymous city where the underclass' sport of choice is ram-raiding. An exciting game in which stolen cars are driven through shop windows to aid large-scale looting before the police arrive. For Tommy, it's a business, but for Billy and Jo, it's a labour of love. As the competition between Tommy and Billy grows more fierce, the stakes become higher and the ""shopping"" trips increasingly risky.",No one leaves without paying...,1.016221,0,Paul W.S. Anderson,Sadie Frost|Jude Law|Sean Pertwee|Fraser James|Sean Bean,
99,Heidi Fleiss: Hollywood Madam (1995),1995-12-27,106,0,Documentary,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with ""she said"" and ""he said."" When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction.",   ,0.483176,0,Nick Broomfield,Nick Broomfield|Heidi Fleiss|Madam Alex|Ivan Nagy|Corinne Bohrer,narration|hollywood|prostitution
100,City Hall (1996),1996-02-16,111,0,Drama|Thriller,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,5.208898,0,Harold Becker,Al Pacino|John Cusack|Bridget Fonda|Danny Aiello|Martin Landau,corruption|undercover|war on drugs|mayor|drug dealer|presidential election|undercover agent|investigation|police|drugs
